,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
37:06.7,0.0012653,0.948644044,1.606167169,-0.94448667,0.063406044,5.294000755
04:42.6,0.0013306,0.830354354,1.606198585,-0.827387295,0.06340563,5.298667765
39:18.5,0.0013059,0.905183601,1.606212548,-0.901905872,0.06340529,5.300722018
06:56.8,0.0011938,0.808958363,1.606161933,-0.806181544,0.063404387,5.305382047
55:21.6,0.0012192,0.761953156,1.606195095,-0.758382212,0.063404314,5.309750606
41:26.3,0.0011984,0.703570147,1.606193349,-0.69990321,0.063404299,5.315004047
48:17.3,0.0011845,0.6466026,1.606191604,-0.64307878,0.063404283,5.319960782
18:14.0,0.0011838,0.593959979,1.606186368,-0.590519935,0.063404282,5.323751637
32:02.6,0.0011813,0.563442897,1.606184623,-0.560060449,0.063404285,5.326083397
59:40.0,0.0011661,0.503791034,1.606182877,-0.500532504,0.063404289,5.330745172
24:58.1,0.0011602,0.432349472,1.606191604,-0.429261984,0.063404298,5.336283101
13:21.8,0.0011464,0.378005155,1.606198585,-0.375034604,0.063404307,5.340655151
17:53.5,0.0011355,0.299603219,1.606207312,-0.296835127,0.063404304,5.346486296
03:58.0,0.0011113,0.237268785,1.606219529,-0.234633338,0.063404304,5.351737992
13:08.1,0.0011013,0.181779532,1.606212548,-0.179264513,0.063404308,5.355820317
56:53.4,0.0010673,0.104311348,1.606216039,-0.101958644,0.06340431,5.361951659
06:03.5,0.0010505,0.050455723,1.606209057,-0.048233919,0.06340431,5.366044456
19:52.2,0.0010461,0.019776326,1.606207312,-0.017622589,0.063404308,5.368377961
08:15.9,0.0010273,6.24036889,1.606207312,-6.238346053,0.063404306,5.372755247
33:34.0,0.0010164,6.167504884,1.606210803,-6.165637382,0.063404303,5.378301903
40:25.0,0.0010011,6.098382865,1.606214293,-6.096642771,0.063404303,5.38326911
56:32.9,0.0010044,6.079709587,1.606216039,-6.07802709,0.0634043,5.384728205
03:23.9,0.0009883,6.010969794,1.606219529,-6.009388526,0.063404294,5.389686686
47:09.2,0.0009664,5.921242418,1.606216039,-5.919804266,0.063404291,5.395812792
17:05.8,0.0009534,5.863239891,1.606217784,-5.861908204,0.06340429,5.399607137
23:56.8,0.0009329,5.786921878,1.606221275,-5.78571411,0.063404287,5.404567363
33:07.0,0.0009245,5.72774649,1.606224765,-5.72660679,0.063404285,5.408653179
03:03.7,0.0009071,5.669656697,1.606228256,-5.668583319,0.063404283,5.41244927
39:58.0,0.0009059,5.652184205,1.606231747,-5.651157952,0.063404279,5.413620386
05:16.2,0.0008967,5.574969094,1.606238728,-5.574019635,0.063404285,5.419167042
32:53.6,0.0008873,5.499816962,1.606240473,-5.498937316,0.06340429,5.423844525
37:25.4,0.0008686,5.404431227,1.606240473,-5.403612668,0.063404305,5.429686142
35:06.1,0.0008655,5.390767045,1.606242219,-5.390014808,0.063404303,5.430562297
21:10.6,0.0008625,5.309218281,1.606224765,-5.308513168,0.063404314,5.435813993
48:48.0,0.0008415,5.218112094,1.606221275,-5.217457595,0.063404328,5.44048973
37:11.7,0.0008364,5.134011658,1.606221275,-5.133364141,0.06340434,5.44486178
41:43.4,0.0008169,5.015859849,1.606230001,-5.015292617,0.063404352,5.450696415
30:07.1,0.0008121,4.933267379,1.606233492,-4.93272109,0.063404359,5.45507021
23:09.4,0.0008093,4.885749044,1.606236983,-4.8852237,0.063404359,5.457695186
27:41.1,0.0008034,4.779947185,1.606247455,-4.779427077,0.063404365,5.463538548
41:29.8,0.0007999,4.738151785,1.606254436,-4.737631677,0.063404365,5.465873798
46:01.5,0.0008006,4.628894174,1.606256181,-4.628363594,0.06340437,5.471720651
34:25.3,0.0008,4.552267239,1.606261417,-4.551715715,0.063404369,5.476106664
22:49.1,0.0008001,4.474271965,1.606256181,-4.473704733,0.06340437,5.48048744
11:12.9,0.0008029,4.392752872,1.606254436,-4.39215946,0.063404368,5.484871707
41:09.5,0.0008037,4.324800223,1.6062492,-4.324161432,0.063404373,5.488667798
29:33.3,0.0008073,4.255311684,1.606243964,-4.254643223,0.063404372,5.49305032
17:57.2,0.0008115,4.178707438,1.606236983,-4.177988362,0.06340437,5.497429351
27:07.4,0.0008152,4.111503535,1.606230001,-4.110725118,0.063404369,5.501516912
36:17.7,0.000825,4.032691447,1.606221275,-4.031850198,0.063404366,5.505604474
50:06.4,0.0008239,3.996639926,1.606217784,-3.995767261,0.063404362,5.507939724
17:43.9,0.000839,3.910808124,1.606224765,-3.909867392,0.063404359,5.51260848
01:29.3,0.0008496,3.806879003,1.606230001,-3.805802135,0.06340436,5.518741567
31:26.0,0.0008585,3.743343782,1.606233492,-3.74219012,0.06340436,5.522535913
59:03.5,0.0008664,3.667654089,1.606243964,-3.666400942,0.063404356,5.52721165
29:00.2,0.0008821,3.604682609,1.606243964,-3.603354414,0.063404357,5.531009486
22:02.5,0.000886,3.559808449,1.606243964,-3.558419167,0.063404357,5.533639697
10:26.4,0.000894,3.493217157,1.606247455,-3.491728391,0.06340436,5.538023964
54:11.8,0.000917,3.389649319,1.606243964,-3.387965076,0.063404372,5.544155306
42:35.7,0.0009214,3.32686459,1.606238728,-3.325103552,0.06340438,5.548532592
33:18.7,0.0009301,3.268985981,1.606233492,-3.267081827,0.063404392,5.552037213
26:21.0,0.0009342,3.233758255,1.606230001,-3.231803487,0.063404399,5.554665679
14:44.9,0.0009465,3.169502214,1.606219529,-3.167416545,0.063404408,5.559041219
03:08.6,0.0009613,3.104321147,1.606212548,-3.102139486,0.063404417,5.56342025
07:40.4,0.0009818,3.021419753,1.606214293,-3.019049596,0.063404432,5.569254886
16:50.6,0.0010035,2.966897413,1.606217784,-2.964403337,0.06340444,5.573337211
44:27.9,0.0010306,2.902301032,1.606224765,-2.899669075,0.063404444,5.578005967
58:16.6,0.0010412,2.87125337,1.606221275,-2.868572544,0.063404445,5.580342963
23:34.7,0.0010557,2.798223558,1.606235237,-2.795382162,0.063404452,5.58589311
51:12.1,0.0010729,2.736449374,1.606238728,-2.733482315,0.063404451,5.590567101
21:08.7,0.0010811,2.684747486,1.606233492,-2.681668725,0.063404455,5.594364938
48:46.1,0.0010927,2.624483012,1.606236983,-2.621278588,0.063404452,5.599040675
44:07.6,0.0010924,2.599493388,1.606236983,-2.596247076,0.063404453,5.600792986
11:44.9,0.001112,2.537914681,1.606230001,-2.53454445,0.06340445,5.605461741
00:08.7,0.0011276,2.485469283,1.60622302,-2.481982115,0.063404449,5.609842518
43:54.0,0.0011488,2.408065676,1.606219529,-2.404416192,0.063404446,5.615970369
53:04.2,0.0011575,2.355337534,1.606214293,-2.351578094,0.063404447,5.620056185
02:14.4,0.0011747,2.312589184,1.606207312,-2.308733752,0.063404448,5.624140255
29:51.7,0.0011829,2.25208211,1.606198585,-2.248139411,0.063404443,5.62880552
45:59.7,0.0011828,2.232012569,1.606198585,-2.228029727,0.063404444,5.630261125
52:50.6,0.0012032,2.178156944,1.606200331,-2.174071128,0.063404436,5.635219605
57:22.3,0.001217,2.106717127,1.606205567,-2.102498666,0.063404435,5.641057731
45:46.1,0.0012229,2.04881932,1.606207312,-2.044531046,0.063404434,5.645435017
15:42.7,0.001228,1.996998749,1.606212548,-1.992640662,0.063404433,5.649227618
08:44.9,0.0012302,1.962266697,1.606214293,-1.95788592,0.063404434,5.651861319
57:08.7,0.0012356,1.908541972,1.606200331,-1.904082655,0.063404436,5.656233369
45:32.4,0.0012423,1.855613117,1.606200331,-1.851108422,0.063404441,5.660614146
10:50.4,0.0012602,1.797413368,1.60619684,-1.792828388,0.063404457,5.666155566
38:27.6,0.0012621,1.74577082,1.606188113,-1.741157915,0.063404467,5.670819086
47:37.7,0.0012688,1.701186385,1.606182877,-1.696531591,0.063404482,5.674901411
01:26.2,0.0012702,1.666888919,1.606177641,-1.662246344,0.063404485,5.677233171
24:24.9,0.0012748,1.591434845,1.606174151,-1.586759108,0.063404495,5.68364202
33:34.8,0.0012756,1.542345715,1.606168915,-1.537696158,0.063404505,5.687720854
28:56.3,0.001272,1.514497241,1.606168915,-1.509824995,0.063404509,5.689467929
56:33.4,0.0012804,1.48014218,1.606172405,-1.475469934,0.063404515,5.694133194
44:56.9,0.0012784,1.430714456,1.606174151,-1.426050936,0.063404523,5.698505244
28:41.8,0.0012784,1.366987249,1.606182877,-1.362370853,0.063404531,5.704627859
17:05.3,0.0012751,1.324553059,1.606184623,-1.319978551,0.063404536,5.709003399
26:15.3,0.0012717,1.285471646,1.606193349,-1.280916337,0.063404534,5.713085724
21:36.7,0.0012705,1.260712405,1.606191604,-1.256172804,0.063404537,5.714838035
10:00.2,0.0012705,1.20955855,1.606188113,-1.205062582,0.063404539,5.719210085
58:23.7,0.0012647,1.156610497,1.606186368,-1.152172124,0.063404538,5.72358388
46:47.1,0.0012651,1.101543613,1.606179387,-1.09718029,0.063404542,5.72795593
35:10.6,0.0012622,1.043076829,1.606177641,-1.038792046,0.063404546,5.732329725
44:20.5,0.0012556,1.000471596,1.606146225,-0.996260117,0.063404547,5.736399832
14:16.8,0.0012524,0.952731605,1.606140989,-0.94856725,0.063404551,5.740185452
41:53.8,0.0012442,0.902649383,1.606123536,-0.898591492,0.063404544,5.744840245
25:38.7,0.0012383,0.828144767,1.606123536,-0.824231739,0.063404543,5.750950642
14:02.1,0.001225,0.788019648,1.606125282,-0.784145017,0.063404552,5.755317456
02:25.5,0.0012245,0.72455424,1.606127027,-0.72084367,0.063404549,5.75968427
32:21.9,0.0012178,0.679608521,1.606132263,-0.675983473,0.063404539,5.763469889
06:56.8,0.0012176,0.658837358,1.606128772,-0.655301321,0.063404527,5.765508434
55:20.4,0.0012152,0.600548597,1.606130518,-0.597098081,0.063404498,5.769876993
43:44.0,0.001207,0.545254821,1.606127027,-0.541891571,0.063404479,5.774254279
06:42.5,0.0011881,0.468024002,1.606127027,-0.464823068,0.063404489,5.780659637
15:52.4,0.0011686,0.422362698,1.606120046,-0.419282192,0.063404496,5.784729745
32:00.2,0.0011692,0.401645639,1.6061183,-0.398627965,0.063404496,5.786183604
59:37.1,0.0011408,0.346821357,1.606111319,-0.343925856,0.063404516,5.790840142
48:00.6,0.0011268,0.294107178,1.606111319,-0.291319887,0.063404526,5.795205211
36:24.0,0.0011134,0.239113598,1.606107828,-0.236469424,0.063404536,5.799566789
20:08.7,0.0010981,0.156980149,1.606102592,-0.154505272,0.063404549,5.80566846
47:45.6,0.0010995,0.09268571,1.606095611,-0.090390602,0.063404555,5.810314526
56:55.4,0.0010806,0.037964402,1.606090375,-0.035786231,0.063404568,5.814381143
10:43.9,0.0010782,0.005867797,1.606090375,-0.003754203,0.063404572,5.816709413
15:15.0,0.0010546,6.208174547,1.606102592,-6.206202325,0.063404585,5.82252834
03:38.4,0.0010421,6.146423052,1.606104338,-6.144588711,0.063404589,5.826891664
52:01.7,0.001028,6.090670255,1.606102592,-6.088977285,0.063404594,5.831260223
01:11.5,0.0010062,6.030020063,1.606100847,-6.028402143,0.063404597,5.835333821
17:19.3,0.0010108,6.011467213,1.606099102,-6.00991387,0.063404596,5.836785935
05:42.6,0.0009905,5.946451953,1.606097356,-5.944992858,0.063404606,5.841147513
33:19.5,0.0009713,5.876736522,1.60608863,-5.875385637,0.063404612,5.845802306
37:50.6,0.0009451,5.792520895,1.606078158,-5.791295673,0.063404618,5.851612507
05:27.4,0.0009274,5.71603184,1.606064195,-5.714927047,0.063404622,5.856253338
53:50.8,0.0009153,5.6503551,1.60606594,-5.649325356,0.063404619,5.860609679
42:14.2,0.0009068,5.584837186,1.606060704,-5.583903434,0.063404618,5.864966021
30:37.6,0.0008908,5.512472344,1.606064195,-5.511638077,0.063404603,5.869324108
39:47.5,0.0008834,5.454872988,1.606064195,-5.454117261,0.063404579,5.873390725
55:55.3,0.0008848,5.43484359,1.60606245,-5.434068663,0.063404578,5.874841094
23:32.4,0.0008593,5.3382082,1.606067686,-5.33749436,0.063404553,5.879499378
11:55.9,0.0008537,5.268312999,1.606058959,-5.26765501,0.063404545,5.883852229
37:13.7,0.000849,5.182502141,1.606058959,-5.18191222,0.063404549,5.889376196
25:37.2,0.0008354,5.104534793,1.606053723,-5.103955343,0.063404557,5.893730793
32:27.7,0.0008305,5.023836004,1.606044996,-5.023298443,0.063404564,5.898663093
41:37.6,0.0008188,4.947608749,1.606043251,-4.947086896,0.063404577,5.90272622
16:12.6,0.0008192,4.924802532,1.60603976,-4.924282424,0.063404584,5.904759528
04:36.0,0.0008147,4.846147524,1.606027543,-4.845653595,0.063404593,5.909110634
52:59.4,0.0008103,4.769148833,1.606024052,-4.768658395,0.063404607,5.913463485
36:44.2,0.0008009,4.63083498,1.606025798,-4.63027822,0.063404626,5.919552939
25:07.6,0.0008029,4.564510724,1.606020562,-4.563969671,0.063404636,5.923902299
34:17.4,0.0008028,4.477436247,1.606029288,-4.476884723,0.063404651,5.927961935
08:52.3,0.0008042,4.443946869,1.606029288,-4.443365675,0.063404656,5.929990008
31:50.5,0.0008102,4.31720455,1.606038015,-4.31659543,0.063404672,5.936372677
01:46.8,0.0008179,4.24773521,1.60603976,-4.247058022,0.063404683,5.940146079
15:35.3,0.0008197,4.210619038,1.606041506,-4.209927887,0.063404687,5.942470857
20:06.4,0.0008299,4.103190532,1.606034524,-4.102431313,0.063404695,5.948275822
26:56.9,0.0008364,4.021791866,1.606032779,-4.020992505,0.063404703,5.953215104
36:06.7,0.0008526,3.944489488,1.606031034,-3.943587153,0.063404707,5.957276485
24:30.0,0.0008641,3.867042248,1.606022307,-3.866085807,0.063404716,5.961629336
49:47.6,0.0008748,3.774602629,1.606015326,-3.773530997,0.063404717,5.967139341
47:28.3,0.0008782,3.7593118,1.606004854,-3.758200025,0.063404722,5.96801026
31:13.0,0.0008966,3.651021101,1.606004854,-3.649766209,0.063404728,5.974097969
19:36.4,0.0008984,3.585562527,1.605999618,-3.584230841,0.063404729,5.978443838
07:59.8,0.0009129,3.514726594,1.605997872,-3.513283207,0.063404731,5.982787963
51:44.5,0.000925,3.421370678,1.605997872,-3.41976672,0.06340473,5.988870435
17:02.2,0.0009426,3.338451831,1.606003108,-3.336694284,0.063404729,5.99438044
44:39.1,0.0009598,3.266813046,1.60601009,-3.264922855,0.063404734,5.99902127
33:02.5,0.0009693,3.20314518,1.606008344,-3.201150269,0.063404735,6.003375867
21:25.9,0.0009924,3.133972546,1.606020562,-3.131808338,0.063404742,6.007735699
09:49.2,0.0010031,3.070821298,1.606008344,-3.068568078,0.063404745,6.012079824
18:59.0,0.0010228,3.012398146,1.606006599,-3.009996573,0.063404758,6.01613946
53:33.9,0.0010224,2.983598468,1.606001363,-2.981137554,0.063404766,6.018171023
41:57.2,0.0010347,2.920435003,1.605990891,-2.917871114,0.063404776,6.022516893
07:14.7,0.0010572,2.843354282,1.605989146,-2.840614115,0.06340479,6.028023407
39:30.1,0.0010609,2.807540125,1.605990891,-2.804737127,0.063404802,6.030920653
27:53.5,0.0010753,2.746462328,1.605985655,-2.743465598,0.063404815,6.035268268
32:24.4,0.0011042,2.673207369,1.605990891,-2.67006054,0.063404835,6.041064507
00:01.1,0.0011132,2.612640953,1.605992636,-2.60939115,0.063404842,6.045700101
09:10.7,0.0011405,2.565927216,1.606006599,-2.562579674,0.063404855,6.049763228
43:45.6,0.00114,2.537771564,1.606004854,-2.534343738,0.063404861,6.051793046
27:30.0,0.0011589,2.46613278,1.60601358,-2.462537402,0.063404875,6.057882499
55:06.7,0.0011639,2.405969535,1.606015326,-2.402304344,0.063404882,6.062525075
20:24.0,0.0011788,2.335425072,1.606011835,-2.331611528,0.063404892,6.068033334
18:04.6,0.0011836,2.325586651,1.60601009,-2.321746927,0.063404893,6.068904254
01:49.2,0.0011907,2.24060657,1.60601009,-2.236749392,0.063404839,6.074997198
50:13.0,0.0011924,2.181593497,1.605999618,-2.177568768,0.063404725,6.079337832
15:31.0,0.0012027,2.121896255,1.606001363,-2.11773539,0.06340462,6.084837364
33:58.1,0.001213,2.134286348,1.605999618,-2.130167371,0.063404594,6.085420304
22:21.8,0.00123,2.080619219,1.605992636,-2.076355379,0.063404578,6.089764429
06:06.8,0.0012439,2.006929672,1.605987401,-2.002557622,0.063404582,6.095852137
12:57.5,0.0012483,1.940832308,1.605985655,-1.936406153,0.063404581,6.100777456
03:40.3,0.0012539,1.900255148,1.605987401,-1.895778379,0.063404579,6.104259388
38:15.3,0.001256,1.8732008,1.605989146,-1.868696105,0.063404579,6.10628397
26:38.8,0.0012602,1.818327648,1.605996127,-1.813781065,0.063404577,6.110638567
51:56.7,0.0012629,1.748088618,1.606006599,-1.743496656,0.063404573,6.116153807
40:20.2,0.001272,1.701441203,1.60601358,-1.696788155,0.063404575,6.120506658
28:43.7,0.0012767,1.653535405,1.60601358,-1.64886665,0.063404579,6.124857764
56:20.8,0.001283,1.604742981,1.60601358,-1.6000463,0.063404582,6.129502085
44:44.2,0.0012863,1.544312701,1.60601358,-1.539636964,0.063404586,6.133851446
53:54.0,0.0012906,1.512383647,1.606015326,-1.507700929,0.063404607,6.137916318
28:29.0,0.0012893,1.480067131,1.60601358,-1.475368705,0.063404613,6.139947881
12:13.7,0.0012872,1.412638081,1.606015326,-1.407953617,0.06340463,6.14603908
00:37.1,0.0012863,1.363299368,1.606008344,-1.358656792,0.063404638,6.15038495
49:00.4,0.0012882,1.319646938,1.606006599,-1.315049741,0.06340465,6.154732565
14:17.9,0.0012848,1.24475486,1.606006599,-1.240223985,0.063404661,6.160242569
46:33.4,0.001285,1.21599707,1.60601009,-1.211483648,0.063404673,6.163145052
00:21.9,0.0012845,1.185858724,1.606011835,-1.181355775,0.063404677,6.165462849
25:39.4,0.0012809,1.111907379,1.606015326,-1.107502168,0.063404686,6.170974599
53:16.2,0.001271,1.069415593,1.60603627,-1.065052269,0.063404695,6.175629392
02:25.8,0.0012637,1.025934205,1.606046742,-1.02166513,0.063404706,6.179692519
55:27.7,0.0012596,0.991460462,1.606043251,-0.987219311,0.063404711,6.182307022
59:58.6,0.0012492,0.922149946,1.606043251,-0.918037951,0.063404721,6.188117223
27:35.4,0.001241,0.868406023,1.606043251,-0.864398747,0.063404718,6.192763289
52:52.8,0.0012327,0.803769499,1.606041506,-0.799880906,0.063404723,6.198276784
25:08.2,0.0012238,0.774454949,1.60603976,-0.770655367,0.063404723,6.201181012
34:17.8,0.0012162,0.730296374,1.606041506,-0.726585804,0.063404729,6.205244139
08:52.7,0.0012154,0.702418229,1.60603976,-0.698739075,0.06340473,6.207275702
57:15.8,0.0012035,0.650728558,1.606038015,-0.647166341,0.063404732,6.211628553
20:13.8,0.0011956,0.569092528,1.606048487,-0.565701353,0.063404727,6.218018204
24:44.7,0.0011863,0.497959889,1.606051978,-0.494743247,0.063404724,6.223823169
03:58.3,0.0011798,0.495774737,1.606053723,-0.492545878,0.063404721,6.224111148
52:21.8,0.0011454,0.451499224,1.606057214,-0.448399519,0.063404633,6.228462254
56:53.4,0.0010797,0.401322754,1.606072922,-0.3985215,0.063404492,6.234277691
24:30.9,0.0011592,0.315145376,1.606071176,-0.312419172,0.063404389,6.238941211
33:41.1,0.0011059,0.264921782,1.606076412,-0.26220954,0.063404374,6.243009573
38:12.6,0.0011045,0.182851164,1.606074667,-0.180343126,0.063404376,6.24882152
26:36.2,0.0010934,0.12679817,1.606071176,-0.124401833,0.063404386,6.253184843
45:03.4,0.0010881,0.119836052,1.606071176,-0.117474621,0.063404384,6.253766037
28:48.5,0.0010621,0.043915975,1.606069431,-0.041681953,0.063404397,6.259865963
33:19.9,0.0010566,6.243114293,1.60606594,-6.241084475,0.063404409,6.265676164
26:22.0,0.0010256,6.215394974,1.606069431,-6.21343846,0.063404415,6.268292413
40:10.6,0.0010288,6.182279096,1.606067686,-6.180369706,0.063404419,6.270617191
23:55.6,0.0010114,6.096188986,1.606076412,-6.09446111,0.06340443,6.276718862
12:19.2,0.0010044,6.032123185,1.606078158,-6.030520973,0.063404439,6.28108044
56:04.1,0.0009803,5.944378502,1.606086884,-5.94290719,0.063404449,0.004003785
35:17.7,0.0009792,5.939694038,1.606086884,-5.93824716,0.063404449,0.00429351
00:35.5,0.0009496,5.851780059,1.606107828,-5.850446627,0.06340446,0.009827949
28:12.6,0.0009317,5.776481319,1.606116555,-5.775249116,0.063404468,0.014489723
16:36.1,0.0009136,5.704837298,1.606123536,-5.70373425,0.063404476,0.018853047
41:53.9,0.0009045,5.619742025,1.606125282,-5.618754169,0.063404479,0.02438225
48:44.6,0.0008879,5.541558256,1.606120046,-5.540655921,0.063404483,0.029333749
39:27.5,0.0008848,5.488655581,1.6061183,-5.487812587,0.063404485,0.032822662
53:16.0,0.0008708,5.445306839,1.6061183,-5.444470826,0.063404492,0.035154422
20:53.1,0.0008622,5.371561442,1.606113064,-5.370807459,0.063404492,0.039809215
25:24.5,0.0008535,5.280059065,1.606113064,-5.279387113,0.063404495,0.045626397
13:48.1,0.0008436,5.204507252,1.60611481,-5.203868462,0.063404496,0.049991466
22:58.1,0.0008364,5.137928177,1.606121791,-5.137338256,0.063404496,0.05406681
50:35.2,0.0008268,5.055669064,1.606128772,-5.055119286,0.063404495,0.058723348
25:10.2,0.0008207,5.011932859,1.606130518,-5.011388316,0.063404494,0.060765383
08:55.3,0.0008141,4.910325026,1.606139244,-4.909810153,0.063404494,0.066882762
18:05.3,0.0008141,4.850407872,1.606139244,-4.849915689,0.063404492,0.070956361
27:15.3,0.0008059,4.772241556,1.606151461,-4.771740647,0.063404492,0.075042177
20:17.5,0.000803,4.722670715,1.606149716,-4.722157588,0.063404495,0.077661916
08:41.1,0.0007986,4.641025958,1.606156697,-4.640490142,0.0634045,0.082039201
52:26.1,0.0007969,4.538233046,1.60614448,-4.537678032,0.063404511,0.08815309
22:22.5,0.0007951,4.45961469,1.606149716,-4.459045713,0.063404516,0.091938709
15:24.7,0.0007955,4.414855721,1.606146225,-4.414253583,0.063404523,0.094558448
03:48.2,0.0007971,4.327767282,1.606147971,-4.327130237,0.063404534,0.098928753
10:38.9,0.000801,4.237785088,1.606149716,-4.237088701,0.06340454,0.103880252
35:56.8,0.0008076,4.134555844,1.606153207,-4.133779172,0.063404554,0.109414691
45:06.8,0.0008126,4.068058799,1.606153207,-4.067219296,0.063404566,0.113493525
58:55.3,0.0008192,4.014276478,1.606163679,-4.013424758,0.06340457,0.115830521
24:13.1,0.0008271,3.926997798,1.606165424,-3.926060556,0.063404582,0.12136496
51:50.1,0.0008382,3.847426492,1.60617066,-3.846398493,0.063404598,0.126033716
01:00.1,0.0008534,3.780473917,1.606175896,-3.77935167,0.063404606,0.13011255
10:10.0,0.0008656,3.704042458,1.606186368,-3.702846908,0.063404613,0.134198366
03:12.1,0.0008819,3.65395849,1.606186368,-3.65268789,0.063404622,0.136828577
26:10.5,0.0009082,3.546753386,1.606188113,-3.545339669,0.063404639,0.143244408
35:20.4,0.0009264,3.474489774,1.606189859,-3.473032424,0.063404636,0.147330223
49:09.0,0.0009223,3.452849436,1.606189859,-3.451329255,0.063404617,0.149661983
37:32.9,0.0009432,3.382437618,1.606184623,-3.380798754,0.063404539,0.154032288
42:04.8,0.0009668,3.304913584,1.606181132,-3.303156037,0.063404444,0.159863433
30:28.8,0.0009718,3.234616957,1.606189859,-3.23266917,0.063404404,0.164231992
46:36.7,0.0009725,3.21573075,1.606186368,-3.213763763,0.063404403,0.165689342
35:00.6,0.0009841,3.146771045,1.606189859,-3.144664433,0.063404407,0.170063137
02:38.0,0.0010044,3.081415446,1.60619684,-3.079176189,0.063404405,0.174731893
46:23.4,0.0010215,2.99384006,1.606205567,-2.991412307,0.063404399,0.180859744
34:47.3,0.0010361,2.927908503,1.606212548,-2.925353341,0.063404395,0.185244011
43:57.6,0.0010508,2.874422888,1.606214293,-2.871752534,0.063404396,0.189333317
